Accession,STD Annot.,Lab Annot.,Curated Loc.,TAIR Loc.
AT1G15140.2,"FAD/NAD(P)-binding oxidoreductase; FUNCTIONS IN: oxidoreductase activity, copper ion binding; INVOLVED IN: oxidation reduction; LOCATED IN: thylakoid, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Oxidoreductase FAD/NAD(P)-binding (InterPro:IPR001433), Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Oxidoreductase, FAD-binding domain (InterPro:IPR008333), Riboflavin synthase-like beta-barrel (InterPro:IPR017938), Phenol hydroxylase reductase (InterPro:IPR001221); BEST Arabidopsis thaliana protein match is: ferredoxin-NADP(+)-oxidoreductase 2 (TAIR:AT1G20020.3); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",FERREDOXIN-NADP+ OXIDOREDUCTASE -LIKE (FNRL),plastid stroma,
AT1G15140.3,"FAD/NAD(P)-binding oxidoreductase; FUNCTIONS IN: oxidoreductase activity, copper ion binding; INVOLVED IN: oxidation reduction; LOCATED IN: thylakoid, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Oxidoreductase FAD/NAD(P)-binding (InterPro:IPR001433), Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Oxidoreductase, FAD-binding domain (InterPro:IPR008333), Riboflavin synthase-like beta-barrel (InterPro:IPR017938), Phenol hydroxylase reductase (InterPro:IPR001221); BEST Arabidopsis thaliana protein match is: ferredoxin-NADP(+)-oxidoreductase 2 (TAIR:AT1G20020.3); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",FERREDOXIN-NADP+ OXIDOREDUCTASE -LIKE (FNRL),plastid stroma,
AT1G15390.1,peptide deformylase 1A ,peptide deformylase 1A (PDF1A) (dual targeted mito & chloro),plastid; mitochondria,mitochondrion & cell wall (sensu Magnoliophyta)
AT1G15410.1,aspartate-glutamate racemase family ,aspartate-glutamate racemase family ,plastid stroma,
AT1G15500.1,TLC ATP/ADP transporter ,AtNTT2 - adenine nucleotide translocase,envelope-inner-integral,cytoplasm
AT1G15710.1,prephenate dehydrogenase family protein ,Arogenate dehydrogenase TYRAAt2,plastid stroma,
AT1G15730.1,"Cobalamin biosynthesis CobW-like protein; CONTAINS InterPro DOMAIN/s: Cobalamin (vitamin B12) biosynthesis CobW-like (InterPro:IPR003495), Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal (InterPro:IPR011629); BEST Arabidopsis thaliana protein match is: plastid transcriptionally active 17 (TAIR:AT1G80480.1); Has 16369 Blast hits to 11834 proteins in 1861 species: Archae - 128; Bacteria - 8189; Metazoa - 1729; Fungi - 553; Plants - 409; Viruses - 6; Other Eukaryotes - 5355 (source: NCBI BLink).","PRLI-interacting factor L, putative",plastid,
AT1G15820.1,light harvesting complex photosystem II subunit 6 ,LHCII-6 - CP24,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G15980.1,NDH-dependent cyclic electron flow 1 ,NDF1 (NDH48)- or PnsB1,thylakoid,
AT1G16080.1,"unknown protein; LOCATED IN: apoplast, chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; Has 81 Blast hits to 81 proteins in 28 species: Archae - 0; Bacteria - 2; Metazoa - 0",unknown protein,stroma,
AT1G16720.1,high chlorophyll fluorescence phenotype 173 ,HCF173 - involved in translation of the D1 protein,stroma,
AT1G16790.1,ribosomal protein-related ,ribosome related ,plastid,thylakoid membrane (sensu Viridiplantae)
AT1G16880.1,uridylyltransferase-related ,ACR11 - uridylyltransferase-related ,thylakoid-peripheral-stromal-side; plastid stroma,thylakoid membrane (sensu Viridiplantae)
AT1G16880.2,"Encodes a ACT domain-containing protein.  The ACT domain, named after bacterial aspartate kinase, chorismate mutase and TyrA (prephenate dehydrogenase), is a regulatory domain that serves as an amino acid-binding site in feedback-regulated amino acid metabolic enzymes.",ACR11 - uridylyltransferase-related ,thylakoid-peripheral-stromal-side; plastid stroma,thylakoid membrane (sensu Viridiplantae)
AT1G17050.1,Encodes a protein with solanesyl diphosphate synthase activity.,solanesyl diphosphate synthase 2 - SPS2,plastid stroma,plastid
AT1G17160.1,pfkB-like carbohydrate kinase family protein ,pfkB type carbohydrate kinase,plastid stroma,
AT1G17160.2,"pfkB-like carbohydrate kinase family protein; FUNCTIONS IN: kinase activity, ribokinase activity; INVOLVED IN: D-ribose metabolic process; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Carbohydrate/purine kinase (InterPro:IPR011611), Ribokinase (InterPro:IPR002139), Carbohydrate/puine kinase, PfkB, conserved site (InterPro:IPR002173); BEST Arabidopsis thaliana protein match is: pfkB-like carbohydrate kinase family protein (TAIR:AT1G06030.1); Has 20525 Blast hits to 20525 proteins in 2560 species: Archae - 370; Bacteria - 15982; Metazoa - 398; Fungi - 241; Plants - 483; Viruses - 0; Other Eukaryotes - 3051 (source: NCBI BLink).",pfkB type carbohydrate kinase,plastid stroma,
AT1G17220.1,"Translation initiation factor 2, small GTP-binding protein ",translation initiation factor IF-2,plastid stroma,
AT1G17420.1,lipoxygenase 3 ,lipoxygenase 3 (detected in abc1k1xabc1k3),plastoglobules,
AT1G17650.1,glyoxylate reductase 2 ,glyoxylate reductase 2 (GR2),plastid stroma,
AT1G17745.1,D-3-phosphoglycerate dehydrogenase ,D-3-phosphoglycerate dehydrogenase (3-PGDH),plastid stroma,chloroplast
AT1G17745.2,encodes a 3-Phosphoglycerate dehydrogenase,D-3-phosphoglycerate dehydrogenase (3-PGDH),plastid stroma,
AT1G17870.1,ethylene-dependent gravitropism-deficient and yellow-green-like 3 ,"EGY3, metalloprotease",plastid,
AT1G18060.1,unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 74 Blast hits to 74 proteins in 29 species: Archae - 0; Bacteria - 19; Metazoa - 0; Fungi - ,fibrillin-like (FBN-like),thylakoid-peripheral-stromal-side,
AT1G18170.1,FKBP-like peptidyl-prolyl cis-trans isomerase family protein ,Isomerases TAT lTP,thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae)
AT1G18440.1,Peptidyl-tRNA hydrolase family protein ,peptidyl-tRNA hydrolase ,plastid nucleoid,
AT1G18500.1,methylthioalkylmalate synthase-like 4 ,2-isopropylmalate synthase (IMS1),plastid stroma,
AT1G18640.2,3-phosphoserine phosphatase ,3-phosphoserine phosphatase-1 (PSP-1),plastid,chloroplast
AT1G18730.1,"likely a subunit of the chloroplast NAD(P)H dehydrogenase complex, involved in PSI cyclic electron transport. Located on the thylakoid membrane. Mutant has impaired NAD(P)H dehydrogenase activity.",NDH F6 or PnsB4,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G18730.2,"likely a subunit of the chloroplast NAD(P)H dehydrogenase complex, involved in PSI cyclic electron transport. Located on the thylakoid membrane. Mutant has impaired NAD(P)H dehydrogenase activity.",NDH F6 or PnsB4,thylakoid-integral,
AT1G18730.3,NDH dependent flow 6 ,NDH F6 or PnsB4,thylakoid-integral,
AT1G18730.4,"likely a subunit of the chloroplast NAD(P)H dehydrogenase complex, involved in PSI cyclic electron transport. Located on the thylakoid membrane. Mutant has impaired NAD(P)H dehydrogenase activity.",NDH F6 or PnsB4,thylakoid-integral,
AT1G19150.1,photosystem I light harvesting complex gene 6 ,LHCI-6 (docking NDH),thylakoid-integral,
AT1G19660.1,"Wound-responsive family protein; FUNCTIONS IN: DNA binding, nuclease activity; INVOLVED IN: response to wounding, nucleotide-excision repair; EXPRESSED IN: ovule; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF151 (InterPro:IPR003729), UvrB/UvrC protein (InterPro:IPR001943); BEST Arabidopsis thaliana protein match is: bifunctional nuclease in basal defense response 1 (TAIR:AT1G75380.3); Has 886 Blast hits to 886 proteins in 308 species: Archae - 44; Bacteria - 551; Metazoa - 0; Fungi - 0; Plants - 105; Viruses - 0; Other Eukaryotes - 186 (source: NCBI BLink).",UVR3 (DUF151 and UVR domain),plastid,
AT1G19660.2,Wound-responsive family protein ,UVR3 (DUF151 and UVR domain),plastid,
AT1G19690.1,NAD(P)-binding Rossmann-fold superfamily protein ,catalytic/ coenzyme binding ,plastid stroma,
AT1G19720.1,Pentatricopeptide repeat (PPR-like) superfamily protein ,pentatricopeptide repeat (PPR) protein,plastid,nucleus & cytoplasm
AT1G19740.1,"ATP-dependent protease La (LON) domain protein; FUNCTIONS IN: ATP-dependent peptidase activity; INVOLVED IN: proteolysis; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase S16, lon N-terminal (InterPro:IPR003111); BEST Arabidopsis thaliana protein match is: ATP-dependent protease La (LON) domain protein (TAIR:AT1G75460.1); Has 3644 Blast hits to 3644 proteins in 880 species: Archae - 0; Bacteria - 1707; Metazoa - 175; Fungi - 37; Plants - 117; Viruses - 0; Other Eukaryotes - 1608 (source: NCBI BLink).",LON-domain protein 1 (LON-like1),plastid,
AT1G19800.1,"Encodes a permease-like protein involved in lipid transfer from the ER to the chloroplast, more specifically, transfer of phosphatidate across the chloroplast inner membrane.  Mutant leaves accumulate trigalactosyldiacylglycerol, triacylglycerol and phosphatidate. Chloroplast lipids are altered in their fatty acid composition and as a consequence the development of chloroplasts in the mutants are impacted. The mutant seeds has a higher abortion rate. Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.",TGD1 - permease,envelope-inner-integral,chloroplast outer membrane & chloroplast envelope & chloroplast inner membrane
AT1G19800.2,"Encodes a permease-like protein involved in lipid transfer from the ER to the chloroplast, more specifically, transfer of phosphatidate across the chloroplast inner membrane.  Mutant leaves accumulate trigalactosyldiacylglycerol, triacylglycerol and phosphatidate. Chloroplast lipids are altered in their fatty acid composition and as a consequence the development of chloroplasts in the mutants are impacted. The mutant seeds has a higher abortion rate. Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.",TGD1 - permease,envelope-inner-integral,chloroplast outer membrane & chloroplast envelope & chloroplast inner membrane
AT1G19800.3,trigalactosyldiacylglycerol 1 ,TGD1 - permease,envelope-inner-integral,chloroplast outer membrane & chloroplast envelope & chloroplast inner membrane
AT1G20020.1,ferredoxin-NADP(+)-oxidoreductase 2 ,"FNR-2 (interaction with Cytf, maybe also AT5G66190)",thylakoid-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae) & chloroplast stroma
AT1G20020.2,Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the stroma,"FNR-2 (interaction with Cytf, maybe also AT5G66190)",thylakoid-peripheral-stromal-side,
AT1G20020.3,Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the stroma,"FNR-2 (interaction with Cytf, maybe also AT5G66190)",thylakoid-peripheral-stromal-side,
AT1G20340.1,Cupredoxin superfamily protein ,plastocyanin-1 (PC-1),thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT1G20810.1,FKBP-like peptidyl-prolyl cis-trans isomerase family protein ,Isomerases - lumen,thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT1G21065.1,unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterPro:IPR001602); Has 380,unknown proteins,plastid,
AT1G21350.1,"Thioredoxin superfamily protein; FUNCTIONS IN: oxidoreductase activity, antioxidant activity; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen (InterPro:IPR000866), Thioredoxin-like fold (InterPro:IPR012336); Has 2579 Blast hits to 2579 proteins in 331 species: Archae - 32; Bacteria - 684; Metazoa - 4; Fungi - 0; Plants - 49; Viruses - 0; Other Eukaryotes - 1810 (source: NCBI BLink).",unknown protein,plastid,
AT1G21350.2,"Thioredoxin superfamily protein; FUNCTIONS IN: oxidoreductase activity, antioxidant activity; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen (InterPro:IPR000866), Thioredoxin-like fold (InterPro:IPR012336); Has 2428 Blast hits to 2428 proteins in 329 species: Archae - 32; Bacteria - 670; Metazoa - 4; Fungi - 0; Plants - 49; Viruses - 0; Other Eukaryotes - 1673 (source: NCBI BLink).",unknown protein,plastid,
AT1G21350.3,Thioredoxin superfamily protein ,unknown protein,plastid,
AT1G21440.1,Phosphoenolpyruvate carboxylase family protein ,carboxyvinyl-carboxyphosphonate phosphorylmutase,plastid stroma,
AT1G21600.1,Present in transcriptionally active plastid chromosomes. Involved in plastid gene expression.,unknown protein (pTAC6),plastid nucleoid,plastid chromosome
AT1G21600.2,plastid transcriptionally active 6 ,unknown protein (pTAC6),plastid nucleoid,plastid chromosome
AT1G21640.1,NAD kinase 2 ,NADK2 - NADPH synthesis,plastid stroma,
AT1G21640.2,Encodes a protein with NAD kinase activity. The protein was also shown to bind calmodulin.,NADK2 - NADPH synthesis,plastid stroma,
AT1G21650.1,Encodes a component of the thylakoid-localized Sec system involved in the translocation of cytoplasmic proteins into plastid.  Loss-of-function mutations result in arrest at the globular stage and embryo lethality.,SecA2,plastid stroma,
AT1G21650.2,Preprotein translocase SecA family protein ,SecA2,plastid stroma,
AT1G21650.3,Preprotein translocase SecA family protein ,SecA2,plastid stroma,
AT1G22410.1,Class-II DAHP synthetase family protein ,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase (DAHP synthetase),plastid,
AT1G22700.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,Pyg7 - TPR protein - PSI assembly (homologue YCF37 Synechocystis),thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G22700.2,Encodes a TPR protein with homology to Ycf37 from Synechocystis that is localized to the thylakoid membrane and is involved in photosystem I biogenesis.,Pyg7 - TPR protein - PSI assembly (homologue YCF37 Synechocystis),thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G22700.3,Encodes a TPR protein with homology to Ycf37 from Synechocystis that is localized to the thylakoid membrane and is involved in photosystem I biogenesis.,Pyg7 - TPR protein - PSI assembly (homologue YCF37 Synechocystis),thylakoid-integral,
AT1G22850.1,SNARE associated Golgi protein family ,unknown protein,plastid,
AT1G22940.1,"thiamin biosynthesis protein, putative ",thiamin-phosphate diphosphorylase (THI1) -dually targeted to plastid & mito,plastid; mitochondria,mitochondrion & chloroplast
AT1G23180.1,ARM repeat superfamily protein ,armadillo/beta-catenin repeat family protein ,plastid,
AT1G23360.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,"UbiE/COQ5 methyltransferase (uniE) (MenG) (vitK1), part of the PHYLLO locus",plastid,
AT1G23360.2,"Encodes a 2-phytyl-1,4-naphthoquinone methyltransferase that catalyzes the final step in phylloquinone (vitamin K1) biosynthesis.","UbiE/COQ5 methyltransferase (uniE) (MenG) (vitK1), part of the PHYLLO locus",plastid,
AT1G23360.3,"Encodes a 2-phytyl-1,4-naphthoquinone methyltransferase that catalyzes the final step in phylloquinone (vitamin K1) biosynthesis.","UbiE/COQ5 methyltransferase (uniE) (MenG) (vitK1), part of the PHYLLO locus",plastid,
AT1G23400.1,RNA-binding CRS1 / YhbY (CRM) domain-containing protein ,CAF2 - splice factor group II intron,plastid,
AT1G23740.1,"Oxidoreductase, zinc-binding dehydrogenase family protein ",NADPH dependent ketone reductase (AOR),plastid stroma,
AT1G24280.1,Encodes a plastidic glucose-6-phosphate dehydrogenase that is sensitive to reduction by DTT and whose mRNA is most highly expressed in root.,glucose-6-phosphate 1-dehydrogenase 3 (G6PD-3),plastid,
AT1G24360.1,NAD(P)-binding Rossmann-fold superfamily protein ,Plastidial Ketoacyl-ACP Reductase,plastid stroma,
AT1G26090.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,Anion-transporting ATPase,plastid,
AT1G26160.1,Metal-dependent phosphohydrolase ,metal-dependent phosphohydrolase HD domain,plastid stroma,
AT1G26220.1,Acyl-CoA N-acyltransferases (NAT) superfamily protein ,GCN5-related N-acetyltransferase (GNAT) ,plastid,
AT1G26230.1,TCP-1/cpn60 chaperonin family protein ,Cpn60-beta-4,plastid,
AT1G26230.2,TCP-1/cpn60 chaperonin family protein ,Cpn60-beta-4,plastid,
AT1G26340.1,cytochrome B5 isoform A ,cytochrome b5 (Tail anchor),envelope,
AT1G27510.1,Protein of unknown function (DUF3506) ,Executer 2 (EXE2),thylakoid,
AT1G27680.1,ADPGLC-PPase large subunit ,ADP-glucose pyrophosphorylase - large subunit 2 (APL2),plastid,
AT1G28140.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown functio,unknown protein,plastid,
AT1G28150.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plastoglobule; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 96 Blast hits to 96 proteins in 44 species: Arch,unknown protein - newly identified PG protein (van Wijk lab 2017),plastoglobules,
