"","Locus","Description","otherName"
"41","AT5G65620","Zincin-like metalloproteases family protein;(source:Araport11)","OOP; ORGANELLAR OLIGOPEPTIDASE; THIMET METALLOENDOPEPTIDASE 1; TOP1"
"385","AT5G35620","Cap-binding protein, binds to the 5 Prime cap structure of nuclear-encoded mRNAs.  Mutant is resistant to potyvirus infection.",""
"721","AT2G43090","One of three genes encoding the small subunit of isopropylmalate isomerase, a heterodimer consisting of a large and a small subunit.  A function in both leucine biosynthesis and the first cycle of Met chain elongation has been demonstrated for this subunit. The mRNA is cell-to-cell mobile.","IPMI SSU1; ISOPROPYLMALATE ISOMERASE SMALL SUBUNIT 1"
"160","AT5G13490","Encodes mitochondrial ADP/ATP carrier","AAC2; ADP/ATP CARRIER 2"
"808","AT5G65240","Leucine-rich repeat protein kinase family protein;(source:Araport11)",""
"637","AT5G25450","Cytochrome bd ubiquinol oxidase, 14kDa subunit;(source:Araport11)",""
"778","ATMG00220","Mitochondrial apocytochrome b (cob) gene encodes a subunit of the ubiquinol-cytochrome c oxidoreductase and is part of a 5 kb transcript. The transcript also contains a pseudogene for ribosomal protein S14 called RPS15 and a tRNA(Ser) gene. Both the Cob and RPS15 genes are edited in the transcript.","APOCYTOCHROME B; COB"
"398","AT5G60730","One of 3 GET paralogs in Arabidopsis. GET3c is a mitochondrion localized protein with no obvious role in Tail Anchored (TA) protein insertion.","ATGET3C; GET3C; GUIDED ENTRY OF TAIL-ANCHORED PROTEIN 3C; GUIDED ENTRY OF TAIL-ANCHORED PROTEINS 3B"
"892","AT5G42850","Thioredoxin superfamily protein;(source:Araport11)",""
"600","AT5G26780","Encodes a protein with serine hydroxymethyltransferase activity which is thought to be localized in the mitochondrial matrix. SHM2 expression fails to rescue the conditional lethal phenotype of the shm1-1 mutant, defective in SHM1.","SERINE HYDROXYMETHYLTRANSFERASE 2; SHM2"
"557","AT1G77590","Encodes major plastidic long chain acyl-CoA synthetase with a slight substrate preference of oleic acid over any of the other fatty acids.",""
"799","AT5G41210","Encodes glutathione transferase belonging to the theta class of GSTs. Naming convention according to Wagner et al. (2002).","ATGSTT1; GLUTATHIONE S-TRANSFERASE THETA 1; GST10; GSTT1"
"321","AT5G17710","Chloroplast GrpE protein involved in chloroplastic response to heat stress and the correct oligomerization of the photosynthesis-related LHCII complex.","CGE1; CHLOROPLAST GRPE 1; EMB1241; EMBRYO DEFECTIVE 1241"
"876","AT5G15650","RGP2 is a UDP-arabinose mutase that catalyzes the interconversion between the pyranose and furanose forms of UDP-L-arabinose. It appears to be required for proper cell wall formation. rgp1(at3g02230)/rgp2 double mutants have a male gametophyte lethal phenotype. RGP2 fusion proteins can be found in the cytosol and peripherally associated with the Golgi apparatus. RGP2 was originally identified as Reversibly Glycosylated Polypeptide-2.  Constitutive expression in tobacco impairs plant development and virus spread.","ATRGP2; MUR5; MURUS 5; REVERSIBLY GLYCOSYLATED POLYPEPTIDE 2; RGP2"
"590","AT5G38990","Involved in growth adaptation upon exposure to metal ions. Contributes together with the other MDS genes to the complex network of CrRLK1Ls that positively and negatively affect growth.","MDS1; MEDOS 1"
"793","AT4G00370","Encodes an inorganic phosphate transporter (PHT4;4) that can transport ascorbate and is located in the chloroplast envelope membrane.  It has been shown to play a role in the xanthophyll cycle during photosynthesis and may be required for tolerance to strong light stress.","ANION TRANSPORTER 2; ANTR2; ATPHT4;4; PHT4;4"
"476","AT5G37850","Encodes a pyridoxal kinase required for root hair development. Mutants are hypersensitive to Na+, K+ and Li+.","SALT OVERLY SENSITIVE 4; SOS4"
"79","AT5G54940","Translation initiation factor SUI1 family protein;(source:Araport11)",""
"775","AT5G25980","Myrosinase (thioglucoside glucohydrolase) gene involved in glucosinoloate metabolism. The mRNA is cell-to-cell mobile.","BETA GLUCOSIDASE 37; BGLU37; GLUCOSIDE GLUCOHYDROLASE 2; TGG2"
"481","AT5G20720","Encodes a chloroplast co-chaperonin with similarity to CPN21 from spinach, E.coli GroES.","CHAPERONIN 20; CPN20"
"750","AT5G16120","alpha/beta-Hydrolases superfamily protein;(source:Araport11)",""
"965","AT3G58610","ketol-acid reductoisomerase;(source:Araport11)",""
"738","AT5G46800","Seedling lethal mutation; Mitochondrial Carnitine Acyl Carrier-Like Protein",""
"431","AT1G78620","integral membrane protein (Protein of unknown function DUF92, transmembrane);(source:Araport11)","VITAMIN E DEFICIENT6; VTE6"
"50","AT5G20010","A member of RAN GTPase gene family. Encodes a small soluble GTP-binding protein. Likely to be involved in nuclear translocation of proteins.  May also be involved in cell cycle progression. The mRNA is cell-to-cell mobile.","ARABIDOPSIS THALIANA RAS-RELATED NUCLEAR PROTEIN; ATRAN1; RAN-1; RAN1; RAS-RELATED NUCLEAR PROTEIN; RAS-RELATED NUCLEAR PROTEIN-1"
"842","AT5G66290","hypothetical protein;(source:Araport11)",""
"634","AT5G26570","chloroplastidic phosphoglucan, water dikinase (PWD) which is required for normal degradation of leaf starch in Arabidopsis. NMR analysis of the mutants, suggests that the gene is specifically involved in the phosphorylation of the glucosyl residues of starch at the C3 position.","ATGWD3; OK1; PHOSPHOGLUCAN WATER DIKINASE; PWD"
"106","AT4G12030","Required for the biosynthesis of methionine-derived glucosinolates. Involved in the  transport of 2-keto acids between chloroplasts and the cytosol.","BASS5; BAT5; BILE ACID TRANSPORTER 5; BILE ACID:SODIUM SYMPORTER FAMILY PROTEIN 5"
"195","AT5G55850","NOI protein","NOI"
"169","AT3G46980","Encodes an inorganic phosphate transporter (PHT4;3).",""
"819","AT2G43750","Arabidopsis thaliana O-acetylserine (thiol) lyase (OAS-TL) isoform oasB, the key enzyme for fixation of inorganic sulfide. It catalyzes the formation of cysteine from O-acetylserine and inorganic sulfide. Required for pollen tube growth and/or fertilization.","ACS1; ARABIDOPSIS CYSTEINE SYNTHASE  1; ARABIDOPSIS THALIANA CYSTEIN SYNTHASE-B; ATCS-B; CHLOROPLAST O-ACETYLSERINE SULFHYDRYLASE 1; CPACS1; O-ACETYLSERINE (THIOL) LYASE B; OASB"
"503","AT4G33520","Encodes a putative metal-transporting P-type ATPase PAA1.  An alternative-splicing event of the PAA1 pre-mRNA produces a copper chaperon named PCH1. The mRNA is cell-to-cell mobile.","ARABIDOPSIS THALIANA HEAVY METAL ATPASE 6; ATHMAC6; HEAVY METAL ATPASE 6; HMA6; P-TYPE ATP-ASE 1; PAA1; PCH1; PLASTID CHAPERON 1"
"300","ATMG00090","ribosomal protein S3",""
"494","AT5G45990","crooked neck protein, putative / cell cycle protein;(source:Araport11)",""
"322","AT3G06960","TGD4 is an integral dimeric beta-barrel lipid transfer protein that binds PtdOH with its N-terminus and contains dimerization domains at its C-terminus. Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.","PDE320; PIGMENT DEFECTIVE 320"
"540","AT5G53560","Encodes a cytochrome b5 isoform that can be reduced by AtCBR, a cytochrome b5 reductase.","ARABIDOPSIS CYTOCHROME B5 ISOFORM E; ATB5-A; ATCB5-E; B5 #2; CB5-E; CYTOCHROME B5 ISOFORM E"
"896","AT3G11945","Encodes a protein involved in plastoquinone-9 biosynthesis. The enzyme possesses homogentisate prenyltransferase activity and was shown to use solanesyl diphosphate, farnesyl diphosphate and geranylgeranyldiphosphate as prenyl donors, but not phytyldiphosphate.  This gene At3g11945 derives from a split of At3g11950, publications Tian et al (2007) and Sadre et al (2006) refer to this gene as At3g11950.","ATHST; HOMOGENTISATE PRENYLTRANSFERASE; HST; PDS2; PHYTOENE DESATURATION 2"
"259","AT2G19860","Encodes a protein with hexokinase activity (AtHXK2) and acts as a sensor for plant sugar responses.","ARABIDOPSIS THALIANA HEXOKINASE 2; ATHXK2; HEXOKINASE 2; HXK2"
"674","AT5G66280","GDP-D-mannose 4,6-dehydratase","GDP-D-MANNOSE 4,6-DEHYDRATASE 1; GMD1"
"445","AT5G55230","Binds and bundles microtubules. Plays a role in stabilizing anti-parallel microtubules  in the central spindle at anaphase to early cytokinesis but is not essential at the midline of the phragmoplast at later stages. The timing with which the MAP65-1 was targeted to  the spindle appears to be regulated by a phosphorylation sensitive  switch. Enhances microtubule polymerization, promotes nucleation and stabilizes microtubules against cold treatment and dilution.","ATMAP65-1; MAP65-1; MICROTUBULE-ASSOCIATED PROTEINS 65-1"
"280","AT5G35620","Cap-binding protein, binds to the 5' cap structure of nuclear-encoded mRNAs.  Mutant is resistant to potyvirus infection.","EIF(ISO)4E; EIF4E2; EIFISO4E; EUKARYOTIC INITIATION FACTOR  (ISO)4E; EUKARYOTIC TRANSLATION INITATION FACTOR 4E2; EUKARYOTIC TRANSLATION INITIATION FACTOR ISOFORM 4E; LOSS OF SUSCEPTIBILITY TO POTYVIRUS 1; LSP; LSP1"
"571","AT5G57655","xylose isomerase family protein;(source:Araport11)",""
"258","AT1G78510","Encodes one of the two paralogous solanesyl diphosphate synthases - SPS1 (At1g78510) and SPS2 (At1g17050) - that assemble the side-chain of plastoquinone-9 in plastids.","ATSPS1; SOLANESYL DIPHOSPHATE SYNTHASE 1; SPS1"
"959","AT3G01280","Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol. The mRNA is cell-to-cell mobile.","ARABIDOPSIS THALIANA VOLTAGE DEPENDENT ANION CHANNEL 1; ATVDAC1; VDAC1; VOLTAGE DEPENDENT ANION CHANNEL 1"
"937","AT3G60590","cytochrome P450 family protein;(source:Araport11)",""
"6","AT5G17610","hypothetical protein;(source:Araport11)",""
"78","AT5G17560","BolA-like family protein;(source:Araport11)",""
"159","AT5G19130","GPI transamidase component family protein / Gaa1-like family protein;(source:Araport11)",""
"670","AT5G55730","Encodes fasciclin-like arabinogalactan-protein 1 (Fla1). fla1 mutants show defects in shoot regeneration.","FASCICLIN-LIKE ARABINOGALACTAN 1; FLA1"
"574","ATCG00540","Encodes cytochrome f apoprotein; involved in photosynthetic electron transport chain; encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.","PETA; PHOTOSYNTHETIC ELECTRON TRANSFER A"
"741","AT2G42770","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein;(source:Araport11)",""
"454","AT3G20390","Encodes a plastidial RidA (Reactive Intermediate Deaminase A) homolog that hydrolyzes the enamines/imines formed by Thr dehydratase from Ser or Thr. RidA accelerates the deamination of reactive enamine/imine intermediates produced by threonine dehydratase (At3g10050) with threonine or serine as substrates. In the absence of RidA, the serine-derived imine inactivates BCAT3 (At3g49680). RidA thus pre-empts damage to BCAT3 by hydrolyzing the reactive imine before it does damage.",""
"434","AT1G55160","WAS/WASL-interacting family protein;(source:Araport11)",""
"874","AT3G51010","protein translocase subunit;(source:Araport11)",""
"737","AT4G33350","Tic22-like family protein;(source:Araport11)","ATTIC22-IV; TIC22-IV; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 22-IV"
"976","ATCG00280","chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element.","PHOTOSYSTEM II REACTION CENTER PROTEIN C; PSBC"
"440","AT3G19680","hypothetical protein (DUF1005);(source:Araport11)",""
"711","AT5G42270","VAR1 contains a conserved motif for ATPase and a metalloprotease characteristic to FtsH proteins, and is targeted into chloroplasts. A VAR1-fusion protein synthesized in vitro exhibited ATPase activity and partial metalloprotease activity. This protein is located to the thylakoid membrane and forms a complex with VAR2. FtsH1 (VAR1) and FtsH5 are interchangeable in thylakoid membranes. Phosphorylation of this protein is dependent on calcium. The mRNA is cell-to-cell mobile.","FTSH5; VAR1; VARIEGATED 1"
"572","AT5G64130","cAMP-regulated phosphoprotein 19-related protein;(source:Araport11)",""
"559","AT5G20935","DUF3148 family protein;(source:Araport11)",""
"113","AT5G14660","Encodes a peptide deformylase PDF1B.  The crystal structure has been determined at a resolution of 0.24 nm (Biochem J, 2008, vol 413:417-427).",""
"140","AT1G48460","tRNA-processing ribonuclease BN;(source:Araport11)",""
"153","AT1G44170","Encodes an aldehyde dehydrogenase induced by ABA and dehydration that can oxidize saturated aliphatic aldehydes. It is also able to oxidize beta-unsaturated aldehydes, but not aromatic aldehydes. Activity of ALDH3H1 is NAD +-dependent.","ALDEHYDE DEHYDROGENASE 3H1; ALDEHYDE DEHYDROGENASE 4; ALDH3H1; ALDH4"
"216","AT2G29650","Encodes an inorganic phosphate transporter that  is localized to the thylakoid membrane.","ANION TRANSPORTER 1; ANTR1; PHOSPHATE TRANSPORTER 4;1; PHT4;1"
"515","AT5G16120","alpha/beta-Hydrolases superfamily protein;(source:Araport11)","MAGL15"
"608","AT5G38660","mutant has Altered acclimation responses;","ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT; APE1"
"203","AT3G49560","HP30/Tric1 is a component of the mitochondrial protein translocation complex and is involved in tRNA transport along with HP30-2/Tric2.","HP30; HYPOTHETICAL PROTEIN 30; TRIC1; TRNA IMPORT COMPONENT 1"
"389","AT4G14070","Plastidic acyl activating enzyme involved in the elongation of exogenous medium-chain fatty acids to 16- and 18-carbon fatty acids.","AAE15; ACYL-ACTIVATING ENZYME 15"
"662","AT5G45510","Leucine-rich repeat (LRR) family protein;(source:Araport11)",""
"319","AT5G57815","Cytochrome c oxidase, subunit Vib family protein;(source:Araport11)",""
"272","AT5G22060","Co-chaperonin similar to E. coli DnaJ","ARABIDOPSIS THALIANA DNAJ HOMOLOGUE 2; ATJ2; DNAJ HOMOLOGUE 2; J2"
"376","AT5G17523","Similar to Maltose excess protein 1",""
"570","AT1G03055","Encodes the ortholog of rice D27.  It is plastid-localized and is required for the inhibition of secondary bud outgrowth and operates on a nonmobile precursor upstream of MAX1 in the SL biosynthesis pathway.","A. THALIANA HOMOLOG OF RICE D27; ATD27; D27; DWARF27"
"423","AT5G16510","RGP5 is a member of the reversably-glycosylated family of proteins. Analyses using tagged RGP5 suggest that it is present in the cytosol and in association with the Golgi apparatus. Recombinant RGP5 does not have UDP-arabinose mutase activity based on an in vitro assay even though the related RGP1, RGP2, and RGP3 proteins do have activity in the same assay. RGP5 can form complexes with RGP1 and RGP2.","REVERSIBLY GLYCOSYLATED POLYPEPTIDE 5; REVERSIBLY GLYCOSYLATED PROTEIN 5; RGP5"
"798","AT5G61510","GroES-like zinc-binding alcohol dehydrogenase family protein;(source:Araport11)",""
"130","AT5G03900","Iron-sulfur cluster biosynthesis family protein;(source:Araport11)",""
"171","AT1G50460","Involved in glucose-ethylene crosstalk.",""
"403","AT5G14030","translocon-associated protein beta (TRAPB) family protein;(source:Araport11)",""
"326","AT5G14030","translocon-associated protein beta (TRAPB) family protein;(source:Araport11)",""
"950","ATMG00285","encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B.","NAD2; NAD2.1; NAD2A; NADH DEHYDROGENASE 2; NADH DEHYDROGENASE 2.1; NADH DEHYDROGENASE 2A"
"86","AT5G35160","Endomembrane protein 70 protein family;(source:Araport11)","TMN11"
"629","AT4G25650","Similar to ACD1. Leaves of antisense ACD1-like plants turn yellow in darkness like wild-type whereas antisense ACD1 plants remain dark after five days of dark treatment.","ACD1-LIKE; PROTOCHLOROPHYLLIDE-DEPENDENT TRANSLOCON COMPONENT, 52 KDA; PTC52; TIC55-IV; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS, 55 KDA - IV"
"465","AT5G54750","Part of multi-protein complex, acting as guanine nucleotide exchange factors (GEFs) and possibly as tethers, regulating intracellular trafficking.","TRAPPC3"
"971","AT5G60980","Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein;(source:Araport11)",""
"30","AT5G42080","Encodes a dynamin-like protein related to phragmoplastin. Mutations in this gene, in combination with mutation in ADL1E, result in defects in embryogenesis, cell plate formation and trichome branching.  Also controls vascular patterning in combination with VAN3 and GNOM. DRP2B and DRP1A participate together in clathrin-coated vesicle formation during endocytosis.","ADL1; ADL1A; AG68; DL1; DRP1A; DYNAMIN-LIKE PROTEIN; DYNAMIN-RELATED PROTEIN 1A"
