TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1005027734	AT5G42080	AT5G42080.2	protein_coding	Encodes a dynamin-like protein related to phragmoplastin. Mutations in this gene, in combination with mutation in ADL1E, result in defects in embryogenesis, cell plate formation and trichome branching.  Also controls vascular patterning in combination with VAN3 and GNOM. DRP2B and DRP1A participate together in clathrin-coated vesicle formation during endocytosis.	ADL1; ADL1A; AG68; DL1; DRP1A; DYNAMIN-LIKE PROTEIN; DYNAMIN-RELATED PROTEIN 1A	 cytoplasm, cytosol, plasma membrane, vacuolar membrane, vacuole, vascular leaf, plant callus, cultured plant cell, GTP binding, GTPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell plate, cell plate formation involved in plant-type cell wall biogenesis, chloroplast thylakoid membrane, clathrin binding, clathrin-coated endocytic vesicle, clathrin-dependent endocytosis, collective leaf structure, cotyledon, cultured plant cell, cytokinesis by cell plate formation, cytoplasm, cytosol, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, microtubule, microtubule binding, mitochondrial fission, petal, petal differentiation and expansion stage, petiole, phragmoplast, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, plastid, pollen, protein binding, protein histidine kinase binding, regulation of establishment of cell polarity, root, root hair initiation, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, trichome branching, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage, xylem and phloem pattern formation	true
Gene:1005715376	AT1G32200	AT1G32200.2	protein_coding	Encodes a chloroplast glycerol-3-phosphate acyltransferase.Involved in the biosynthesis of chloroplast phosphatidylglycerol.	ACT1; ACYLTRANSFERASE 1; ATS1	 chloroplast, vascular leaf, seedling development stage, CDP-diacylglycerol biosynthetic process, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, glycerol-3-phosphate O-acyltransferase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphatidylglycerol biosynthetic process, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1006229362	AT5G23750	AT5G23750.2	protein_coding	Remorin family protein;(source:Araport11)		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to mannitol, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6530296829	AT2G35040	AT2G35040.2	protein_coding	AICARFT/IMPCHase bienzyme family protein;(source:Araport11)		 chloroplast, 'de novo' IMP biosynthetic process, IMP cyclohydrolase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphoribosylaminoimidazolecarboxamide formyltransferase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to cold, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, stromule, vascular leaf, vascular leaf senescent stage	true
Gene:6530296967	AT3G06310	AT3G06310.3	protein_coding	Cox19-like CHCH family protein;(source:Araport11)		 mitochondrion, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrial electron transport, NADH to ubiquinone, mitochondrial intermembrane space, mitochondrial respiratory chain complex I, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6530297799	AT5G16980	AT5G16980.2	protein_coding	Zinc-binding dehydrogenase family protein;(source:Araport11)		 cytoplasm, LP.04 four leaves visible stage, LP.06 six leaves visible stage, carpel, collective leaf structure, cotyledon, cytoplasm, flower, flowering stage, guard cell, inflorescence meristem, oxidation-reduction process, petal, petal differentiation and expansion stage, plastid, response to oxidative stress, rosette leaf, sepal, shoot system, stamen, stem, vascular leaf	true
Gene:6532561394	AT5G40490	AT5G40490.2	protein_coding	HLP1 is a member of the conserved hnRNP A/B family and contains RNA Recognition Motifs (RRM).It binds mRNA and appears to be involved in targeting alternative polyadenylation (APA). APA targets include genes involved in flowering. Loss of HLP1 function results causes late flowering under long and short day conditions. This phenotype is suppressed by loss of FLC.		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, leaf apex, leaf lamina base, mRNA 3'-UTR binding, mRNA binding, mRNA polyadenylation, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, positive regulation of long-day photoperiodism, flowering, positive regulation of short-day photoperiodism, flowering, pre-mRNA intronic binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532553657	AT1G18640	AT1G18640.3	protein_coding	Encodes a 3-phosphoserine phosphatase acting in the last step of serine biosynthesis within the chloroplast. Essential for embryo, pollen and root development.		 L-serine biosynthetic process, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cytoplasm, dephosphorylation, embryo development, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, magnesium ion binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphatase activity, phosphoserine phosphatase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, pollen development, root, root development, root meristem, seed, sepal, shoot apex, shoot system, stamen, stem, sulfur amino acid metabolic process, vascular leaf, vascular leaf senescent stage	true
Gene:6532550001	AT5G55070	AT5G55070.2	protein_coding	Dihydrolipoamide succinyltransferase;(source:Araport11)		 mitochondrion, L-lysine catabolic process to acetyl-CoA via saccharopine, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT Golgi apparatus, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, cytosolic ribosome, dihydrolipoyllysine-residue succinyltransferase activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, oxoglutarate dehydrogenase complex, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, response to oxidative stress, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, tricarboxylic acid cycle, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532553197	AT2G21370	AT2G21370.3	protein_coding	Although this gene has a sequence similar to xylulose kinases, several lines of experimental evidence suggest that it does not act on xylulose or deoxy-xylulose.		 chloroplast, ATP binding, D-ribulokinase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT xylulokinase activity, cauline leaf, chloroplast, collective leaf structure, cotyledon, cytoplasm, cytosol, flowering stage, guard cell, leaf lamina base, petal, petal differentiation and expansion stage, petiole, phosphorylation, plastid, rosette leaf, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2077832	AT3G08710	AT3G08710.1	protein_coding	Associated to plasma membrane. Moves cell to cell, suggesting a role in intercellular communication.	ATH9; TH9; THIOREDOXIN H-TYPE 9; THIOREDOXIN TYPE H 9; TRX H9	 cytoplasm, plasma membrane, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell communication, cell redox homeostasis, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, glycerol ether metabolic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, pollen tube cell, protein disulfide oxidoreductase activity, root, root epidermis, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, stomatal complex, vascular leaf, vascular leaf senescent stage	true
Gene:2155704	AT5G65620	AT5G65620.1	protein_coding	Zincin-like metalloproteases family protein;(source:Araport11)	OOP; ORGANELLAR OLIGOPEPTIDASE; THIMET METALLOENDOPEPTIDASE 1; TOP1	 chloroplast, chloroplast stroma, cytosol, mitochondrion, cotyledon, vascular leaf, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, metalloendopeptidase activity, mitochondrial matrix, mitochondrion, peptide metabolic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, proteolysis, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
